n,seed,optimal,n_evals,f,alg,imp_div_evals,imp_div_evals_new,imp_minus_evals,minus_evals
2000,13,1,2828,2000,dyn_theory,0.9113614765275778,-1.5554749853237357,-2807,-2827
2000,14,1,2921,2000,dyn_theory,0.8395433716190264,-2.069128064715081,-2900,-2920
2000,15,1,3350,2000,dyn_theory,0.8640651846720322,-1.5006619669282417,-3329,-3349
2000,16,1,2492,2000,dyn_theory,0.8627004246271404,-1.683403485224312,-2471,-2491
2000,17,1,3456,2000,dyn_theory,0.8425107377234946,-2.00091451900763,-3435,-3455
2000,18,1,1636,2000,dyn_theory,0.8517195337135018,-0.5116958920134458,-1615,-1635
2000,19,1,2467,2000,dyn_theory,0.886257219458525,-0.6960036515597692,-2446,-2466
2000,20,1,2542,2000,dyn_theory,0.8594321196942677,-1.5448993550335228,-2521,-2541
2000,2,1,3351,2000,dyn_theory,0.8577989431972135,-1.6609196059431617,-3330,-3350
2000,3,1,2630,2000,dyn_theory,0.8674685024484794,-1.449650129397924,-2609,-2629
2000,4,1,2665,2000,dyn_theory,0.9259807352195506,-1.0345918095626778,-2644,-2664
2000,5,1,3113,2000,dyn_theory,0.8695909968400463,-1.6122996718303368,-3092,-3112
2000,6,1,2252,2000,dyn_theory,0.8807468876037325,-0.9162566463865552,-2231,-2251
2000,7,1,2095,2000,dyn_theory,0.8874506081509969,-0.9859414134444051,-2074,-2094
2000,8,1,1775,2000,dyn_theory,0.9052456822571744,-0.6058263926569903,-1754,-1774
2000,9,1,2551,2000,dyn_theory,0.8755201714527876,-1.7789402102637393,-2530,-2550
500,10,1,498,500,dyn_theory,0.227141322729558,-0.2864092559903006,-492,-497
500,11,1,336,500,dyn_theory,0.2491604829066129,-0.21749593638361908,-330,-335
500,1,1,790,500,dyn_theory,0.2525265369305617,-0.5824204762143077,-784,-789
500,12,1,445,500,dyn_theory,0.23084213893037422,-0.2301486165327302,-439,-444
500,13,1,472,500,dyn_theory,0.24119242239951622,-0.21169019907937334,-466,-471
500,14,1,343,500,dyn_theory,0.23405388471177943,-0.06825506608401345,-337,-342
500,15,1,610,500,dyn_theory,0.24272386820340786,-0.5893397337422907,-604,-609
500,16,1,1030,500,dyn_theory,0.21512328251458687,-0.919749675985925,-1024,-1029
500,17,1,586,500,dyn_theory,0.2398131024985245,-0.6298047210239295,-580,-585
500,18,1,596,500,dyn_theory,0.24476190476190474,-0.4061101830409611,-590,-595
500,19,1,1132,500,dyn_theory,0.26058612440191387,-0.848365581545228,-1126,-1131
500,20,1,283,500,dyn_theory,0.22033288349077823,-0.09358228696043341,-277,-282
500,2,1,462,500,dyn_theory,0.24824561403508769,-0.34254431853873235,-456,-461
500,3,1,391,500,dyn_theory,0.25936234817813764,-0.14871139707423192,-385,-390
500,4,1,351,500,dyn_theory,0.23809523809523808,-0.17436371100164205,-345,-350
500,5,1,343,500,dyn_theory,0.241765565875473,-0.19540478870974226,-337,-342
500,6,1,603,500,dyn_theory,0.24656789031402032,-0.4166653348346712,-597,-602
500,7,1,456,500,dyn_theory,0.23495370370370372,-0.1958425331652826,-450,-455
500,8,1,644,500,dyn_theory,0.24315998329156224,-0.4409060829363487,-638,-643
500,9,1,515,500,dyn_theory,0.23128306878306878,-0.23672498288497484,-509,-514
